date,% Iron Feed,% Silica Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,% Iron Concentrate,% Silica Concentrate
3/10/2017 1:00,"55,2","16,98","3019,53","557,434","395,713","100,664","1,74","249,214","253,235","250,576","295,096","306,4","250,225","250,884","457,396","432,962","424,954","443,558","502,255","446,37","523,344","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3024,41","563,965","397,383","100,672","1,74","249,719","250,532","250,862","295,096","306,4","250,137","248,994","451,891","429,56","432,939","448,086","496,363","445,922","498,075","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3043,46","568,054","399,668","10,068","1,74","249,741","247,874","250,313","295,096","306,4","251,345","248,071","451,24","468,927","434,61","449,688","484,411","447,826","458,567","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3047,36","568,665","397,939","100,689","1,74","249,917","254,487","250,049","295,096","306,4","250,422","251,147","452,441","458,165","442,865","446,21","471,411","437,69","427,669","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3033,69","558,167","400,254","100,697","1,74","250,203","252,136","249,895","295,096","306,4","249,983","248,928","452,441","452,9","450,523","453,67","462,598","443,682","425,679","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3079,1","564,697","396,533","100,705","1,74","250,73","248,906","249,521","295,096","306,4","250,356","251,873","444,384","443,269","460,449","439,92","451,588","433,539","425,458","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3127,79","566,467","392,9","100,713","1,74","250,313","252,202","249,082","295,096","306,4","250,95","253,477","446,185","444,571","452,306","431,328","443,548","444,575","431,251","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3152,93","558,777","397,002","100,722","1,74","249,895","253,63","249,258","295,096","306,4","249,456","253,345","445,985","461,341","461,64","442,067","441,73","461,77","449,679","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3147,27","556,03","394,307","10,073","1,74","250,137","251,104","248,774","295,096","306,4","248,577","250,884","446,686","478,385","459,103","455,074","439,798","457,738","455,915","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3142,58","565,857","393,105","100,738","1,74","249,653","252,202","248,203","295,096","306,4","248,511","248,137","445,685","478,779","460,665","457,225","453,236","449,898","455,75","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3148,05","561,951","396,533","100,746","1,74","249,236","250,818","250,225","295,096","306,4","250,203","246,797","456,495","438,06","466,332","458,005","455,493","448,05","452,663","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3150,39","558,472","397,852","100,755","1,74","249,17","249,829","251,147","295,096","306,4","250,928","246,533","461,45","421,41","467,79","458,59","453,84","448,05","451,34","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3280,27","564,026","393,545","100,763","1,74","249,016","249,829","251,147","295,096","306,4","249,543","251,147","457,947","425,372","453,818","453,942","459,629","443,738","460,608","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3411,13","567,261","394,16","100,771","1,74","249,258","250,137","251,609","295,096","306,4","248,643","249,587","448,037","428,26","447,074","458,516","472,134","461,49","467,667","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3447,46","561,646","392,549","100,779","1,74","249,39","251,191","250,269","295,096","306,4","249,434","250,225","433,923","418,459","431,266","465,705","481,442","479,298","471,307","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3562,7","560,364","394,688","100,788","1,74","250,005","252,202","249,456","295,096","306,4","250,598","248,84","434,674","416,42","435,956","459,922","484,36","457,85","473,847","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3707,03","563,049","396,504","100,796","1,74","250,115","249,39","249,697","295,096","306,4","251,082","250,774","446,736","398,407","444,212","444,88","471,964","439,874","470,261","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3784,96","557,983","394,834","100,804","1,74","250,049","246,533","249,829","295,096","306,4","250,378","248,643","451,991","426,335","443,024","429,998","452,629","440,77","463,421","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3798,05","563,11","396,709","100,812","1,74","250,203","248,181","250,291","295,096","306,4","250,203","249,807","447,537","428,318","445,292","425,78","433,191","453,034","451,617","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3866,6","564,27","398,262","100,821","1,74","250,269","247,939","249,719","295,096","306,4","250,422","251,543","452,441","443,155","444,104","418,668","409,287","453,65","437,82","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3907,42","568,054","394,951","100,829","1,74","250,115","249,258","249,697","295,096","306,4","250,642","248,884","439,679","451,199","446,372","420,548","403,83","438,25","413,212","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3705,66","560,669","396,123","100,837","1,74","250,356","251,433","249,521","295,096","306,4","250,4","249,324","441,681","446,1","444,428","421,288","397,113","431,586","405,595","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3554,3","572,449","395,01","100,845","1,74","250,488","247,104","249,236","295,096","306,4","250,115","249,28","447,186","468,245","451,657","449,687","399,592","437,13","399,916","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3523,24","563,416","394,453","100,854","1,74","250,181","247,456","249,324","295,096","306,4","249,434","248,181","453,542","500,023","454,624","458,008","414,796","460,818","403,059","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3514,65","565,613","400,986","100,862","1,74","249,28","252,971","251,697","295,096","306,4","249,324","251,543","450,69","492,148","458,458","458,714","419,473","463,618","415,585","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3492,58","569,031","408,018","100,875","1,74","248,95","252,883","250,686","295,096","306,4","250,159","248,972","451,24","504,664","456,838","456,76","428,394","458,186","434,562","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3508,98","568,848","398,994","10,089","1,74","249,412","252,949","249,214","295,096","306,4","249,873","251,191","449,989","484,614","458,782","485,549","442,769","451,13","440,08","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3537,3","557,312","400,488","100,906","1,74","249,609","253,191","249,258","295,096","306,4","249,456","249,983","438,077","440,264","464,013","474,647","461,111","456,45","455,199","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3555,86","562,195","404,766","100,921","1,74","249,763","247,896","249,851","295,096","306,4","250,005","249,807","443,933","433,241","461,479","476,21","468,607","466,082","474,567","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3570,12","571,533","401,572","100,936","1,74","250,291","251,653","251,279","295,096","306,4","252,114","250,115","448,438","425,826","461,59","485,898","482,759","466,418","479,645","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3579,69","571,167","394,57","100,951","1,74","254,487","257,607","255,498","295,096","306,4","254,597","253,586","436,876","436,474","460,132","456,719","485,845","452,474","480,25","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3565,63","562,805","393,516","100,967","1,74","258,662","259,211","256,465","295,096","306,4","256,245","253,564","438,578","431,037","439,896","449,646","478,908","439,874","477,493","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3550,39","566,101","396,504","100,982","1,74","259,255","254,817","254,202","295,096","306,4","257,256","252,905","444,233","436,643","415,022","444,136","455,99","441,946","468,442","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3546,88","568,848","397,559","100,997","1,74","259,058","252,905","253,345","295,096","306,4","257,52","252,905","445,435","441,23","407,9","440,62","447,23","444,13","465,13","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3613,87","567,139","398,994","101,013","1,74","257,981","251,829","251,96","295,096","306,4","257,52","252,444","464,003","463,434","413,941","437,89","432,579","446,874","452,383","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3680,86","561,707","399,199","101,028","1,74","257,212","252,29","251,06","295,096","306,4","257,212","252,554","467,756","498,325","428,619","429,608","412,041","451,186","434,565","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3719,14","563,11","402,715","101,043","1,74","256,465","252,378","250,313","295,096","306,4","256,772","252,224","467,706","502,06","442,487","425,741","398,986","448,61","423,089","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3725,78","570,129","403,887","101,059","1,74","256,816","252,4","250,203","295,096","306,4","256,333","251,873","468,457","495,437","458,67","428,4","385,216","445,754","432,025","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3734,18","569,946","400,02","101,074","1,74","256,311","247,544","250,576","295,096","306,4","256,509","251,191","465,304","284,561","456,457","437,068","394,471","442,506","422,318","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3747,85","567,139","403,359","101,089","1,74","254,751","245,588","250,554","295,096","306,4","256,487","250,466","458,698","3,288,555","461,151","459,648","413,524","439,37","417,185","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3766,99","579,224","406,084","101,104","1,74","254,531","248,884","250,488","295,096","306,4","255,959","250,269","452,942","373,15","482,68","472,891","425,699","455,778","423,476","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3804,88","598,389","403,477","10,112","1,74","254,355","250,884","250,334","295,096","306,4","255,762","250,422","457,396","486,826","490,828","444,921","415,399","471,01","438,315","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3816,99","600,83","402,861","101,135","1,74","254,07","251,763","249,346","295,096","306,4","255,916","250,796","452,241","508,292","474,75","432,849","412,097","470,45","480,689","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3812,3","599,365","403,516","10,115","1,74","254,736","247,339","248,95","295,096","306,4","254,956","250,195","461,617","513,163","462,757","455,08","419,33","462,05","480,393","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3818,75","595,001","403,14","101,166","1,74","254,817","248,28","249,95","295,096","306,4","254,586","250,115","462,751","515,94","458,485","466,273","434,26","438,299","458,319","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3820,9","589,874","394,834","101,181","1,74","254,092","246,193","250,917","295,096","306,4","254,663","250,411","465,154","507,926","450,526","463,868","449,935","434,607","455,093","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3802,54","594,33","397,002","101,196","1,74","253,641","246,687","251,005","295,096","306,4","253,806","250,774","462,751","499,284","448,856","477,99","472,845","450,542","447,725","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3788,09","598,724","395,156","101,211","1,74","253,422","251,071","251,213","295,096","306,4","254,059","250,214","440,104","317,64","442,275","493,181","494,655","469,386","451,837","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","3774,22","598,969","391,904","101,227","174,022","252,916","251,115","250,939","295,096","306,4","255,157","249,829","446,986","340,792","430,405","496,617","522,335","490,246","477,66","66,91","1,31"
3/10/2017 1:00,"55,2","16,98","1130,86","595,581","398,364","101,242","174,057","252,971","249,983","251,136","295,096","306,4","253,685","250,4","463,928","363,944","435,012","475,154","524,045","492,794","518,624","66,91","1,31"
3/10/2017 2:00,"55,2","16,98","3354,3","567,505","397,734","100,872","169,841","249,214","248,335","249,39","295,096","306,4","250,181","248,774","449,939","439,19","451,39","481,874","480,718","467,09","472,192","67,06","1,11"
3/10/2017 2:00,"55,2","16,98","3367,19","561,768","399,082","100,879","169,876","248,95","253,169","249,39","295,096","306,4","250,049","249,653","456,646","431,148","453,548","471,488","492,618","459,026","496,802","67,06","1,11"
3/10/2017 2:00,"55,2","16,98",3375,"560,913","401,66","100,886","16,991","248,774","250,752","249,478","295,096","306,4","250,049","250,049","455,044","459,36","451,714","459,926","498,456","468,658","515,456","67,06","1,11"
3/10/2017 2:00,"55,2","16,98","3392,19","565,918","403,594","100,893","169,945","248,599","248,73","249,521","295,096","306,4","249,961","248,247","440,93","443,272","450,2","460,784","499,004","465,858","521,522","67,06","1,11"
3/10/2017 2:00,"55,2","16,98","3404,3","560,913","404,121","10,09","169,979","248,994","248,994","249,302","295,096","306,4","249,741","249,653","446,736","426,616","443,402","461,876","503,414","450,962","505,296","67,06","1,11"
3/10/2017 2:00,"55,2","16,98","3387,5","566,895","405,645","100,907","170,014","249,39","252,729","249,17","295,096","306,4","249,785","250,928","451,24","430,126","441,782","454,454","501,102","440,658","479,364","67,06","1,11"
3/10/2017 2:00,"55,2","16,98","3333,98","566,04","398,555","100,914","170,048","249,126","251,895","249,697","295,096","306,4","250,4","250,093","444,934","427,406","447,286","435,782","494,27","445,586","467,118","67,06","1,11"
3/10/2017 2:00,"55,2","16,98","3297,66","560,303","400,723","100,921","170,083","248,994","251,323","250,752","295,096","306,4","250,664","250,005","441,731","442,7","460,236","427,344","490,526","457,794","456,638","67,06","1,11"
3/10/2017 2:00,"55,2","16,98","3272,27","565,302","402,706","100,928","170,117","249,39","249,766","250,896","295,096","306,4","250,269","250,938","436,736","437,345","465,913","431,306","474,3","459,703","441,039","67,06","1,11"
3/10/2017 2:00,"55,2","16,98","3237,5","563,019","400,767","100,931","170,151","249,236","247,797","250,796","295,096","306,4","250,269","250,642","445,009","435,962","464,986","437,224","449,602","440,178","422,949","67,06","1,11"
3/10/2017 2:00,"55,2","16,98","3212,5","567,291","400,298","100,925","170,186","248,719","247,269","251,29","295,096","306,4","250,269","248,225","456,746","477,819","459,079","442,495","435,56","422,168","423,723","67,06","1,11"
3/10/2017 2:00,"55,2","16,98","3213,28","567,291","399,155","100,919","17,022","248,522","250,499","251,224","295,096","306,4","250,345","249,51","448,763","508,799","451,388","438,336","421,017","428,191","434,262","67,06","1,11"
3/10/2017 2:00,"55,2","16,98","3234,77","561,279","398,936","100,913","170,255","248,95","250,543","250,829","295,096","306,4","250,334","250,521","449,839","490,788","443,726","447,069","415,675","452,39","441,159","67,06","1,11"
3/10/2017 2:00,"55,2","16,98","3269,14","563,751","401,382","100,907","170,289","248,95","250,214","249,752","295,096","306,4","250,126","248,873","452,441","456,917","442,862","458,223","420,247","461,098","438,262","67,06","1,11"
3/10/2017 2:00,"55,2","16,98","3335,55","564,453","398,657","100,901","170,324","249,104","251,389","249,532","295,096","306,4","250,345","249,115","451,04","425,229","441,674","480,919","438,396","460,762","439,664","67,06","1,11"
3/10/2017 2:00,"55,2","16,98","3389,06","560,089","404,736","100,895","170,358","249,39","251,093","249,39","295,096","306,4","250,642","250,983","445,985","420,305","439,548","491,855","464,97","460,314","446,508","67,06","1,11"
3/10/2017 2:00,"55,2","16,98","3408,2","570,648","410,874","100,889","170,392","249,159","249,258","249,313","295,096","306,4","250,774","251,433","448,087","435,879","427,813","482,224","473,535","468,91","462,898","67,06","1,11"
3/10/2017 2:00,"55,2","16,98","3414,06","566,437","402,129","100,883","170,427","248,961","249,06","249,247","295,096","306,4","250,104","248,522","457,646","453,433","434,796","455,723","468,934","483,442","497,823","67,06","1,11"
3/10/2017 2:00,"55,2","16,98","3405,47","572,357","397,148","100,878","170,461","249,082","245,709","249,313","295,096","306,4","249,39","249,796","451,215","434,349","440,54","431,172","470,37","475,406","516,803","67,06","1,11"
3/10/2017 2:00,"55,2","16,98","3378,52","566,406","399,873","100,872","170,496","248,434","244,061","249,554","295,096","306,4","249,697","251,06","446,31","438,967","451,036","433,75","466,706","469,806","493,602","67,06","1,11"
3/10/2017 2:00,"55,2","16,98","3358,91","568,97","404,502","100,866","17,053","248,752","249,862","250,961","295,096","306,4","251,191","249,719","446,686","453,491","462,88","432,719","462,598","446,09","463,722","67,06","1,11"
3/10/2017 3:00,"55,2","16,98","3365,65","573,517","399,023","10,086","170,565","249,379","253,312","252,092","295,096","306,4","250,829","249,06","456,445","440,432","456,625","432,736","464,334","445,95","432,906","66,97","1,27"
3/10/2017 3:00,"55,2","16,98","3376,77","573,547","398,599","100,854","170,599","248,873","251,257","251,268","295,096","306,4","248,049","250,565","452,416","439,473","450,608","444,901","453,238","466,166","424,3","66,97","1,27"
3/10/2017 3:00,"55,2","16,98","3382,81","574,341","404,883","100,848","170,633","248,73","249,829","250,269","295,096","306,4","250,049","250,708","444,934","481,45","453,76","454,3","443,93","466,53","424,3","66,97","1,27"
3/10/2017 3:00,"55,2","16,98","3384,86","575,623","401,602","100,842","170,668","248,577","248,368","249,961","295,096","306,4","249,895","249,939","441,08","491,163","455,839","450,607","435,642","457,514","422,757","66,97","1,27"
3/10/2017 3:00,"55,2","16,98","3393,46","576,08","399,302","100,836","170,702","248,676","248,423","249,236","295,096","306,4","249,686","249,126","434,974","504,444","458,377","444,023","427,768","444,886","421,822","66,97","1,27"
3/10/2017 3:00,"55,2","16,98","3398,93","578,491","404,912","10,083","170,737","249,159","251,642","249,027","295,096","306,4","249,983","251,345","437,277","470,035","453,467","451,229","443,078","457,822","432,553","66,97","1,27"
