date,% Iron Feed,% Silica Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,% Iron Concentrate,% Silica Concentrate
2017-04-29 07:00:00,"53,64","19,08","2173,91","509,424","400,676","9,65004","1,74946","300,648","293,059","301,983","300,152","299,417","297,814","299,068","452,23","462,819","455,837","319,251","341,922","453,741","340,986","66,33","1,19"
2017-04-29 07:00:00,"53,64","19,08","2183,6","510,445","402,86","9,65027","1,74903","300,451","292,615","300,599","300,366","298,894","297,822","297,475","452,146","459,212","448,769","324,196","353,456","383,531","341,837","66,33","1,19"
2017-04-29 07:00:00,"53,64","19,08","2177,73","512,519","406,106","9,65051","1,74859","300,501","297,577","298,063","300,366","297,97","302,61","297,535","459,295","451,077","440,035","346,373","369,023","234,619","342,769","66,33","1,19"
2017-04-29 07:00:00,"53,64","19,08","2152,47","511,225","402,169","9,65074","1,74816","299,88","301,306","297,286","300,366","298,126","298,104","300,953","450,801","452,679","434,312","331,18","369,023","263,134","339,648","66,33","1,19"
2017-04-29 07:00:00,"53,64","19,08","2127,21","506,76","401,68","9,65098","1,74773","299,48","293,252","297,298","299,457","299,987","295,259","300,313","446,888","449,902","438,022","338,066","363,611","313,072","340,492","66,33","1,19"
2017-04-29 07:00:00,"53,64","19,08","2124,62","502,759","402,86","9,65121","1,74681","299,421","287,069","297,97","298,731","301,838","293,559","298,705","444,741","448,557","444,178","345,653","357,943","331,216","343,632","66,33","1,19"
2017-04-29 07:00:00,"53,64","19,08","2134,32","502,236","404,743","9,65145","1,74489","299,892","294,128","299,382","299,108","302,309","292,901","298,329","442,594","453,652","447,876","337,119","356,055","266,683","348,359","66,33","1,19"
2017-04-29 07:00:00,"53,64","19,08","2141,12","501,713","406,625","9,65168","1,74297","300,362","301,187","300,794","299,484","302,779","292,242","297,952","440,447","458,747","451,574","328,586","354,168","202,15","353,086","66,33","1,19"
2017-04-29 07:00:00,"53,64","19,08","2142,52","499,128","406,228","9,65192","1,74106","300,057","302,019","299,412","299,487","302,164","300,29","301,047","457,715","450,405","445,9","323,56","358,423","250,57","352,736","66,33","1,19"
2017-04-29 07:00:00,"53,64","19,08","2138,74","499,814","401,328","9,65215","1,73914","299,746","302,071","299,01","299,396","300,268","302,662","300,526","456,465","445,957","445,296","315,829","354,515","328,987","355,769","66,33","1,19"
2017-04-29 07:00:00,"53,64","19,08","2148,89","501,944","395,567","9,65247","1,73742","299,487","300,143","299,619","299,349","298,112","301,056","298,112","444,865","446,442","448,292","308,582","348,34","409,084","361,181","66,33","1,19"
2017-04-29 07:00:00,"53,64","19,08","2159,29","499,751","401,041","9,65319","1,73666","299,487","291,142","301,672","299,822","299,059","299,95","299,059","447,383","457,025","451,006","313,073","359,423","397,411","366,336","66,33","1,19"
