date,% Iron Feed,% Silica Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,% Iron Concentrate,% Silica Concentrate
2017-03-10 01:00:00,"55,2","16,98","3019,53","557,434","395,713","10,0664","1,74","249,214","253,235","250,576","295,096","306,4","250,225","250,884","457,396","432,962","424,954","443,558","502,255","446,37","523,344","66,91","1,31"
2017-03-10 01:00:00,"55,2","16,98","3024,41","563,965","397,383","10,0672","1,74","249,719","250,532","250,862","295,096","306,4","250,137","248,994","451,891","429,56","432,939","448,086","496,363","445,922","498,075","66,91","1,31"
2017-03-10 01:00:00,"55,2","16,98","3043,46","568,054","399,668","10,068","1,74","249,741","247,874","250,313","295,096","306,4","251,345","248,071","451,24","468,927","434,61","449,688","484,411","447,826","458,567","66,91","1,31"
2017-03-10 01:00:00,"55,2","16,98","3047,36","568,665","397,939","10,0689","1,74","249,917","254,487","250,049","295,096","306,4","250,422","251,147","452,441","458,165","442,865","446,21","471,411","437,69","427,669","66,91","1,31"
2017-03-10 01:00:00,"55,2","16,98","3033,69","558,167","400,254","10,0697","1,74","250,203","252,136","249,895","295,096","306,4","249,983","248,928","452,441","452,9","450,523","453,67","462,598","443,682","425,679","66,91","1,31"
2017-03-10 01:00:00,"55,2","16,98","3079,1","564,697","396,533","10,0705","1,74","250,73","248,906","249,521","295,096","306,4","250,356","251,873","444,384","443,269","460,449","439,92","451,588","433,539","425,458","66,91","1,31"
2017-03-10 01:00:00,"55,2","16,98","3127,79","566,467","392,9","10,0713","1,74","250,313","252,202","249,082","295,096","306,4","250,95","253,477","446,185","444,571","452,306","431,328","443,548","444,575","431,251","66,91","1,31"
2017-03-10 01:00:00,"55,2","16,98","3152,93","558,777","397,002","10,0722","1,74","249,895","253,63","249,258","295,096","306,4","249,456","253,345","445,985","461,341","461,64","442,067","441,73","461,77","449,679","66,91","1,31"
2017-03-10 01:00:00,"55,2","16,98","3147,27","556,03","394,307","10,073","1,74","250,137","251,104","248,774","295,096","306,4","248,577","250,884","446,686","478,385","459,103","455,074","439,798","457,738","455,915","66,91","1,31"
2017-03-10 01:00:00,"55,2","16,98","3142,58","565,857","393,105","10,0738","1,74","249,653","252,202","248,203","295,096","306,4","248,511","248,137","445,685","478,779","460,665","457,225","453,236","449,898","455,75","66,91","1,31"
2017-03-10 01:00:00,"55,2","16,98","3148,05","561,951","396,533","10,0746","1,74","249,236","250,818","250,225","295,096","306,4","250,203","246,797","456,495","438,06","466,332","458,005","455,493","448,05","452,663","66,91","1,31"
2017-03-10 01:00:00,"55,2","16,98","3150,39","558,472","397,852","10,0755","1,74","249,17","249,829","251,147","295,096","306,4","250,928","246,533","461,45","421,41","467,79","458,59","453,84","448,05","451,34","66,91","1,31"
2017-03-10 01:00:00,"55,2","16,98","3280,27","564,026","393,545","10,0763","1,74","249,016","249,829","251,147","295,096","306,4","249,543","251,147","457,947","425,372","453,818","453,942","459,629","443,738","460,608","66,91","1,31"
2017-03-10 01:00:00,"55,2","16,98","3411,13","567,261","394,16","10,0771","1,74","249,258","250,137","251,609","295,096","306,4","248,643","249,587","448,037","428,26","447,074","458,516","472,134","461,49","467,667","66,91","1,31"
2017-03-10 01:00:00,"55,2","16,98","3447,46","561,646","392,549","10,0779","1,74","249,39","251,191","250,269","295,096","306,4","249,434","250,225","433,923","418,459","431,266","465,705","481,442","479,298","471,307","66,91","1,31"
2017-03-10 01:00:00,"55,2","16,98","3562,7","560,364","394,688","10,0788","1,74","250,005","252,202","249,456","295,096","306,4","250,598","248,84","434,674","416,42","435,956","459,922","484,36","457,85","473,847","66,91","1,31"
2017-03-10 01:00:00,"55,2","16,98","3707,03","563,049","396,504","10,0796","1,74","250,115","249,39","249,697","295,096","306,4","251,082","250,774","446,736","398,407","444,212","444,88","471,964","439,874","470,261","66,91","1,31"
2017-03-10 01:00:00,"55,2","16,98","3784,96","557,983","394,834","10,0804","1,74","250,049","246,533","249,829","295,096","306,4","250,378","248,643","451,991","426,335","443,024","429,998","452,629","440,77","463,421","66,91","1,31"
2017-03-10 01:00:00,"55,2","16,98","3798,05","563,11","396,709","10,0812","1,74","250,203","248,181","250,291","295,096","306,4","250,203","249,807","447,537","428,318","445,292","425,78","433,191","453,034","451,617","66,91","1,31"
2017-03-10 01:00:00,"55,2","16,98","3866,6","564,27","398,262","10,0821","1,74","250,269","247,939","249,719","295,096","306,4","250,422","251,543","452,441","443,155","444,104","418,668","409,287","453,65","437,82","66,91","1,31"
